zipcode,total_population,perc_female,percent_black,perc_hispanic,perc_unemployed,median_income,perc_poverty,perc_homeowners
60018,30037,49.8684955221893,1.8210873256317208,35.22988314412225,4.6,64429,10.0,71.0
60131,17834,49.45609509924863,0.5719412358416508,47.72905685768756,6.0,64128,8.2,73.3
60601,15083,53.39786514619107,4.59457667572764,8.115096466220248,4.5,103112,0.7,33.4
60602,1145,44.19213973799127,4.279475982532751,6.462882096069869,0.2,191528,0.0,42.2
60603,1052,50.2851711026616,3.897338403041825,3.2319391634980987,9.1,146250,0.0,57.2
60604,823,52.369380315917375,4.981773997569866,3.402187120291616,7.5,91750,9.1,28.9
60605,29060,54.8107364074329,15.320027529249828,7.51892635925671,3.3,111438,3.3,48.9
60606,3287,48.85914207484028,1.7645269242470338,5.71950106480073,2.1,140558,3.7,44.8
60607,29293,49.71494896391629,14.341310210630526,7.343051240910798,6.5,102726,4.9,41.8
60608,80059,44.46595635718658,17.002460685244632,48.69408811001886,6.8,50133,15.3,37.3
60609,60939,50.51280788985707,25.077536552946388,52.98905462839889,15.0,37353,23.8,37.5
60610,40548,53.09509716878761,14.898392029199961,6.229653743711157,3.2,92130,5.8,39.3
60611,33224,53.322899109077774,2.9105465928244643,4.734529255959547,3.0,106906,4.3,46.7
60612,33735,52.707870164517566,59.64725062990959,12.023121387283236,9.9,43545,23.2,27.8
60613,50761,49.46317054431552,6.0124899036662,11.120742302161108,3.0,84318,3.7,40.1
60614,71954,49.021597131500684,4.284681880090058,6.167829446590877,2.6,117138,2.3,44.9
60615,40590,55.34368070953437,54.811529933481154,5.469327420546933,9.0,45077,13.0,30.5
60616,54197,52.379282986143146,23.647065335719688,8.430355923759617,5.3,52162,18.3,37.5
60617,83553,54.63119217742032,56.68976577741075,37.15964717005972,14.5,41125,19.3,55.0
60618,94907,49.70234018565543,2.891251435615919,40.25835818222049,3.5,78704,8.0,47.6
60619,61207,54.851569264953355,95.71944385446109,1.3135752446615583,16.1,35629,21.7,42.2
60620,67711,55.06047761811227,95.69346191903827,1.8401736793135532,16.4,36767,22.3,46.8
60621,28018,53.172960239845814,94.9996430865872,3.1800985081019344,24.4,22158,38.7,23.0
60622,53294,47.5963523098285,6.456636769617593,22.905017450369648,2.5,101161,8.3,37.6
60623,81283,50.48165052963104,30.45901356987316,66.79994586813972,11.1,32460,25.7,33.5
60624,34892,52.57365585234438,90.68267797775995,5.081394015820245,20.1,23429,37.6,25.1
60625,79444,50.573989225114545,4.83107597804743,32.07668294647802,5.0,68770,10.0,39.3
60626,50544,50.73994935106046,27.19610636277303,19.598765432098766,5.5,42747,18.8,24.3
60628,64254,53.372552681545116,93.12571979954555,3.528185015718866,20.1,41169,18.9,55.8
60629,110029,51.08289632733189,19.58301902225777,71.6411127975352,14.8,43506,15.9,57.3
60630,56433,51.361791859373064,1.6922722520511049,28.469158116704765,4.8,73212,8.2,64.9
60631,29529,51.46466185783467,1.1818889904839311,11.852754918893291,2.5,93989,5.1,74.1
60632,89857,48.8064368941763,1.9019108138486707,82.99297773128416,10.2,44924,17.5,53.6
60633,12689,47.63180707699582,23.358814721412248,47.58452202695248,8.4,51538,13.5,69.2
60634,75082,51.628885751578274,1.8579686209744013,38.37404437814656,3.8,70083,5.5,73.4
60636,30024,53.61377564614975,87.99293898214762,9.402478017585931,27.2,26724,29.5,45.0
60637,47300,56.298097251585624,75.43551797040169,3.2621564482029597,17.9,28965,29.9,25.1
60638,58669,50.184935826415995,3.9458657894288294,50.35538359269802,8.0,68089,7.4,77.0
60639,88204,50.046483152691486,13.53793478753798,77.99192780372772,7.4,46107,16.3,48.2
60640,69363,47.99388723094445,16.880757752692357,14.088202644060955,4.2,57221,13.3,32.3
60641,69880,50.90870062965083,2.544361763022324,54.55065827132227,5.3,63545,8.6,52.7
60642,19716,47.81395820653277,10.15418949076892,16.240616757963075,3.6,112241,5.0,38.4
60643,48887,54.97371489352998,72.55712152514984,3.0867101683474134,10.3,65631,10.2,74.7
60644,46591,52.95443325964242,88.82187546951128,6.855401257753644,14.5,26900,28.7,28.0
60645,47270,49.76729426697694,15.38819547281574,17.584091389887877,7.3,57572,14.3,51.3
60646,28569,53.589555112184534,1.0360880674857362,15.051279358745493,4.8,95593,4.2,75.7
60647,87633,49.32844932844933,5.77978615361793,42.93131582851209,4.0,78413,11.1,38.1
60649,46633,57.01970707438938,93.44241202581863,2.549696566808912,16.0,31921,25.2,21.7
60651,63492,53.89025389025389,51.65690165690166,42.91091791091791,11.1,38955,22.0,44.0
60652,43447,52.9518723962529,45.62110157203029,41.49193269961102,11.2,70702,10.5,82.5
60653,33154,56.741268021958135,89.3255715750739,2.7538155275381553,15.7,31093,28.0,25.1
60654,20022,49.84017580661273,5.404055538907202,5.7736489861152736,2.1,122492,0.4,40.5
60655,28569,51.198851902411704,6.601561132696279,9.051769400399033,4.1,102813,2.8,86.5
60656,28218,48.890778935431285,1.28641292791835,13.353178822028493,3.8,64440,5.0,61.9
60657,70958,49.75619380478593,3.024324248146791,7.588996307674963,3.0,95173,2.0,39.4
60659,42735,49.71100971100971,8.253188253188252,20.762840762840764,6.9,52239,18.2,40.6
60660,44498,49.50110117308643,13.402849566272641,17.11088138792755,4.9,50966,10.2,36.7
60661,10354,49.96136758740583,4.317172107398107,6.190844118215183,1.5,120000,4.7,30.9
