,zipcode,total_population,perc_female,perc_minority,perc_black,perc_hispanic,perc_unemployed,median_income,perc_poverty,perc_homeowners,Chains,Fast Food,grocery_store,fs_ratio,pr_fs_ratio,death_rate_cumulative
46,60651,63492.0,53.89,77.85,51.66,42.91,11.1,38955.0,22.0,44.0,7.0,13.0,3.0,5.25,4.24,178.7
47,60652,43447.0,52.95,68.37,45.62,41.49,11.2,70702.0,10.5,82.5,2.0,20.0,1.0,11.5,6.96,186.8
48,60653,33154.0,56.74,92.58,89.33,2.75,15.7,31093.0,28.0,25.1,4.0,3.0,2.0,2.67,4.89,162.6
49,60654,20022.0,49.84,21.24,5.4,5.77,2.1,122492.0,0.4,40.5,9.0,19.0,2.0,9.67,13.87,31.4
50,60655,28569.0,51.2,9.39,6.6,9.05,4.1,102813.0,2.8,86.5,8.0,8.0,1.0,8.5,9.87,107.6
51,60656,28218.0,48.89,13.88,1.29,13.35,3.8,64440.0,5.0,61.9,4.0,5.0,2.0,3.33,2.2,126.9
52,60657,70958.0,49.76,11.25,3.02,7.59,3.0,95173.0,2.0,39.4,12.0,30.0,7.0,5.38,8.35,60.0
53,60659,42735.0,49.71,42.67,8.25,20.76,6.9,52239.0,18.2,40.6,9.0,21.0,3.0,7.75,5.03,175.3
54,60660,44498.0,49.5,31.38,13.4,17.11,4.9,50966.0,10.2,36.7,5.0,18.0,3.0,6.0,1.53,136.4
55,60661,10354.0,49.96,33.61,4.32,6.19,1.5,120000.0,4.7,30.9,5.0,26.0,4.0,6.4,14.85,10.1
56,60666,,,,,,,,,,1.0,31.0,0.0,33.0,,0.0
57,60707,,,,,,,,,,5.0,5.0,4.0,2.2,,76.7
58,60827,,,,,,,,,,0.0,0.0,1.0,0.5,,38.5
