,store_name,address,zip,new_status,last_updated,location
93,Supermercado El Guero,4023 S Archer Ave.,60632,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.693738, 41.820567]}"
94,Walmart,3320 South Cicero Avenue,,OPEN,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.74364, 41.830299]}"
95,Beverly Food Mart,8636 S ASHLAND AVE,60620,OPEN,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.663181, 41.73671]}"
96,Food Market La Chicquita,3555 W 26th Street,60623,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.714614, 41.844396]}"
97,Aldi,6520 W Fullerton Ave,60707-3431,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.788159, 41.923717]}"
98,Supermercado La Chiqutia,2623 S PULASKI RD,60623,OPEN,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.724514, 41.843419]}"
99,Tony's Finer Foods,5233 N. Lincoln Ave,60625,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.69240600000002, 41.976631]}"
100,Aldi,6025 S Western Ave,60636-2019,OPEN,2020-06-05T13:21:00.000,"{'type': 'Point', 'coordinates': [-87.68370700000001, 41.78380000000001]}"
101,Mariano's Fresh Market,3030 N Broadway Suite 100,60657,OPEN,2020-06-05T13:21:00.000,"{'type': 'Point', 'coordinates': [-87.644291, 41.937393]}"
102,Pete's Fresh Market,4700 S Kedzie Ave.,60632,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.703961, 41.807662]}"
103,Jewel - Osco,11730 S Marshfield Ave,60643-4904,OPEN,2020-06-03T17:00:00.000,"{'type': 'Point', 'coordinates': [-87.66251200000002, 41.6814]}"
104,Jewel - Osco,3630 N Southport Ave,60613-3710,OPEN,2020-06-03T17:00:00.000,"{'type': 'Point', 'coordinates': [-87.664031, 41.94821400000001]}"
105,Potash Markets,175 E Delaware,60611,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.622865, 41.899246]}"
106,Aldi,3835 W Madison St,60624-2335,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.722009, 41.88078]}"
107,Walmart,2551 W Cermak Rd,60608-3719,CLOSED,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.689211, 41.852013]}"
108,Carniceria La Hacienda,3629 W 63rd St,60629,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.714114, 41.7788]}"
109,H Mart,711 W JACKSON BLVD,60661,OPEN,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.644687, 41.87801]}"
110,Leamington Foods,3240 W Roosevelt Rd,60624,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.707076, 41.866411]}"
111,Jewel - Osco,7530 S Stony Island Ave,60649-3999,CLOSED,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.586146, 41.758397]}"
112,Jewel - Osco,102 W Division St,60610,OPEN,2020-06-03T17:00:00.000,"{'type': 'Point', 'coordinates': [-87.631522, 41.90392]}"
113,Pete's Fresh Market,5724 S Kedzie Ave.,60629,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.703411, 41.788825]}"
114,Food 4 Less,4620 S Damen Ave,60609-4043,OPEN,,"{'type': 'Point', 'coordinates': [-87.674989, 41.809458]}"
115,Pete's Produce,1543 East 87th Street,60619,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.58648500000001, 41.736904]}"
116,Whole Foods Market,1550 N Kingsbury St,60642-2532,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.651946, 41.908333]}"
117,Cermak Produce,4234 N Kedzie Ave.,60618,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.708144, 41.958242]}"
118,La Casa Del Pueblo,1810 S Blue Island Ave,60608,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.662098, 41.856785]}"
119,Target,4466 N Broadway St,60640-5660,OPEN,,"{'type': 'Point', 'coordinates': [-87.656115, 41.963321]}"
120,Park to Shop Supermarket,2425 S WALLACE ST,60616,OPEN,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.641933, 41.848631]}"
121,Morelia Supermarket,4833 W DIVERSEY AVE,60639,OPEN,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.748197, 41.93153]}"
122,Hyde Park Produce,1226 E 53RD ST,60615,OPEN,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.595593, 41.799496]}"
123,Jewel - Osco,424 W Division St,60610-3190,OPEN,2020-06-03T17:00:00.000,"{'type': 'Point', 'coordinates': [-87.639626, 41.903827]}"
124,Andy's Fruit Ranch,4733 N KEDZIE AVE,60625,OPEN,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.708464, 41.967651]}"
125,Mariano's Fresh Market,5201 N Sheridan Rd,60640,OPEN,2020-06-05T13:21:00.000,"{'type': 'Point', 'coordinates': [-87.655022, 41.976906]}"
126,Target,1346 E 53rd St,60615-4046,OPEN,2020-06-05T13:21:00.000,"{'type': 'Point', 'coordinates': [-87.593095, 41.799527]}"
127,Mariano's Fresh Market,1800 West Lawrence Ave.,60640,OPEN,2020-06-05T13:21:00.000,"{'type': 'Point', 'coordinates': [-87.675062, 41.968858]}"
128,Fairplay Neighborhood Market,2323 W 111th St.,60643,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.680391, 41.691788]}"
129,Pete's Fresh Market,3448 E 118th St.,60617,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.540984, 41.68094700000001]}"
130,Tony's Finer Foods,5630 W. Belmont Ave,60634,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.76795, 41.938567]}"
131,Stumpy's Grocery & Deli,9001 S ASHLAND AVE,60620,OPEN,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.662846, 41.730156]}"
132,Devon Market,1440 W Devon Ave,60660,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.667512, 41.998125]}"
133,Whole Foods Market,255 E Grand Ave,60611-3315,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.621346, 41.891801]}"
134,Target,1154 S Clark St,60605-2159,OPEN,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.630528, 41.867843]}"
135,Mariano's Fresh Market,2112 N Ashland,60614,OPEN,2020-06-05T13:21:00.000,"{'type': 'Point', 'coordinates': [-87.668539, 41.920702]}"
136,Tony's Finer Foods,4137 N. Elston Ave,60618,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.72213, 41.955747]}"
137,Los Cuatro Hermanos Grocery,1858 S ALLPORT ST,60608,OPEN,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.657622, 41.856653]}"
138,Target,7100 S Cicero Ave,60629-5891,OPEN,2020-06-05T13:21:00.000,"{'type': 'Point', 'coordinates': [-87.742015, 41.764792]}"
139,Park to Shop Supermarket Broadway,4879 N BROADWAY,60640,OPEN,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.659728, 41.971045]}"
140,Dill Pickle Food Co-op,2746 N MILWAUKEE AVE,60647,OPEN,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.710541, 41.930966]}"
141,Target,4433 S Pulaski Rd,60632-4010,OPEN,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.723656, 41.812519]}"
142,Moses Butcher Shop,5057 W DIVISION ST,60651,OPEN,,"{'type': 'Point', 'coordinates': [-87.752533, 41.902306]}"
143,Jewel - Osco,4660 W Irving Park Rd,60641-2888,OPEN,2020-06-03T17:00:00.000,"{'type': 'Point', 'coordinates': [-87.744868, 41.953468]}"
144,Mariano's Fresh Market,3350 North Western Avenue,60618,OPEN,2020-06-05T13:21:00.000,"{'type': 'Point', 'coordinates': [-87.688178, 41.942805]}"
145,Happy Foods - Edgebrook,6415 N Central Ave,60646,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.763514, 41.998118]}"
146,Target,2656 N Elston Ave,60647-2019,OPEN,2020-06-05T13:21:00.000,"{'type': 'Point', 'coordinates': [-87.683798, 41.929451]}"
147,Trader Joe's,667 W DIVERSEY PKWY,60614,OPEN,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.645939, 41.932807]}"
148,Ogies Food,2600 W LITHUANIAN PLAZA CT,60629,OPEN,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.688311, 41.768259]}"
149,Walmart,10900 S Doty Ave,60628-3804,OPEN,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.596618, 41.696117]}"
150,Walmart,7535 S Ashland Ave,60620-4246,CLOSED,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.663538, 41.756362]}"
151,Cermak Produce,1711 W Cermak,60608,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.669358, 41.852296]}"
152,Cermak Produce,3033 S Halsted St.,60608,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.646295, 41.838836]}"
153,Pete's Fresh Market,5838 S Pulaski Rd.,60629,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.723053, 41.786519]}"
154,Whole Foods Market,3201 N Ashland Ave,60657-2156,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.668592, 41.93976]}"
155,Target,401 E Illinois St,60611-4305,OPEN,2020-06-05T13:21:00.000,"{'type': 'Point', 'coordinates': [-87.617634, 41.891053]}"
156,Jewel - Osco,6107 S Archer Ave,60638-2743,OPEN,2020-06-03T17:00:00.000,"{'type': 'Point', 'coordinates': [-87.770696, 41.794391]}"
157,Foodsmart,2901 W Armitage Ave,60647,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.699617, 41.917474]}"
158,Target,2434 N SACRAMENTO AVE,60647,CLOSED,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.702326, 41.925616]}"
159,Save A Lot,7240 S Stony Island,60649,OPEN,2020-06-05T13:21:00.000,"{'type': 'Point', 'coordinates': [-87.586265, 41.762774]}"
160,Aldi,821 W 115th St,60643-4618,OPEN,2020-06-05T13:21:00.000,"{'type': 'Point', 'coordinates': [-87.64258800000002, 41.685074]}"
161,Trader Joe's,44 E ONTARIO ST,60611,OPEN,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.626344, 41.89332300000001]}"
162,Leamington Foods,5467 W Madison St,60644,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.76380600000002, 41.880217]}"
163,Cermak Produce,3311 W 26th St.,60623,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.70826800000002, 41.844499000000006]}"
164,Whole Foods Market,3640 N Halsted St,60613-4316,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.649502, 41.948387]}"
165,Jewel - Osco,6430 W Irving Park Rd,60634-2459,OPEN,2020-06-03T17:00:00.000,"{'type': 'Point', 'coordinates': [-87.787727, 41.952915]}"
166,Carniceria Jimenez,3850 W Fullerton Ave,60647,OPEN,2020-06-03T21:30:00.000,"{'type': 'Point', 'coordinates': [-87.723901, 41.924575]}"
167,Target,6525 W Diversey Ave,60707-2312,OPEN,2020-06-05T13:21:00.000,"{'type': 'Point', 'coordinates': [-87.787135, 41.930987]}"
168,Aldi,10532 S Indianapolis Ave,60617-6355,OPEN,2020-06-05T13:21:00.000,"{'type': 'Point', 'coordinates': [-87.525607, 41.703728]}"
169,Costco,7300 S Cicero Ave,60629-5817,OPEN,2020-06-05T13:21:00.000,"{'type': 'Point', 'coordinates': [-87.741835, 41.760134]}"
170,Target,2650 N CLARK ST,60614,OPEN,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.64393700000001, 41.930805]}"
171,Walmart,4626 W Diversey Ave,60639-1829,CLOSED,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.74243, 41.931608]}"
172,Mariano's Fresh Market,1615 S Clark Street,60616,OPEN,2020-06-05T13:21:00.000,"{'type': 'Point', 'coordinates': [-87.630264, 41.859325]}"
173,Aldi,4500 N Broadway St,60640-5602,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.65629, 41.963599]}"
174,Aldi,8500 S Holland Rd,60620-1338,OPEN,2020-06-05T13:21:00.000,"{'type': 'Point', 'coordinates': [-87.631939, 41.73934]}"
175,Whole Foods Market,6009 N Broadway St,60660-2500,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.660244, 41.991499000000005]}"
176,Armitage Produce,3334 W. Armitage Ave.,60647,OPEN,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.710835, 41.917361]}"
177,Que Rico Supermercado,3552 W ARMITAGE AVE,60647,OPEN,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.715646, 41.917317]}"
178,Jewel - Osco,5320 S Pulaski Rd,60632-4224,OPEN,2020-06-03T17:00:00.000,"{'type': 'Point', 'coordinates': [-87.723312, 41.795953]}"
179,Clarendon Food Mart,4183 N CLARENDON AVE,60613,OPEN,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.649781, 41.958174]}"
180,Trader Joe's,1840 N CLYBOURN AVE,60614,OPEN,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.654343, 41.914418]}"
181,J Freshmart,2411 S WALLACE ST,60616,OPEN,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.642075, 41.848785]}"
182,Plum Market,1233 N WELLS ST,60610,OPEN,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.634502, 41.904751]}"
183,Jewel - Osco,4250 N Lincoln Ave,60618-2902,OPEN,2020-06-03T17:00:00.000,"{'type': 'Point', 'coordinates': [-87.682232, 41.959156]}"
184,First Choice Market,3019 E 91ST ST,60617,OPEN,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.550363, 41.73008]}"
185,La Feria Grocery,9704 S COMMERCIAL AVE,60617,OPEN,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.55104, 41.718849]}"
186,Target,1940 W 33rd St,60608-6107,OPEN,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.674594, 41.834066]}"
187,Tony's Finer Foods,2500 N Central Avenue,60639,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.76607, 41.926441]}"
