,store_name,address,zip,new_status,last_updated,location
228,Fairplay Neighborhood Market,4640 S Halsted St.,60609,OPEN,2020-06-05T13:21:00.000,"{'type': 'Point', 'coordinates': [-87.64562400000001, 41.810628]}"
229,Whole Foods Market,959 W Fullerton Ave,60614-2406,ONLINE ORDERS ONLY,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.6533, 41.925405]}"
230,Save A Lot,420 S Pulaksi Rd,60624,OPEN,2020-06-05T13:21:00.000,"{'type': 'Point', 'coordinates': [-87.725425, 41.874532]}"
231,Potash Markets,1525 N Clark Street,60610,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.63163300000001, 41.910246]}"
232,Mariano's Fresh Market,2021 W Chicago Avenue,60622,OPEN,2020-06-05T13:21:00.000,"{'type': 'Point', 'coordinates': [-87.677972, 41.895918]}"
233,Carniceria La Hacienda,5153 S Kedzie Ave,60632,OPEN,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.703718, 41.799112]}"
234,Aldi,4934 S Kedzie Ave,60632-3042,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.703824, 41.802995]}"
235,Aldi,13085 S Ashland Ave,60827-6333,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.660633, 41.656854]}"
236,Jewel - Osco,6014 S Cottage Grove,60637,OPEN,2020-06-03T17:00:00.000,"{'type': 'Point', 'coordinates': [-87.606036, 41.784548]}"
237,Rio Valley Market,3307 W 63RD ST,60629,OPEN,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.707291, 41.778911]}"
238,Johnny's Foods,7158 S ASHLAND AVE,60636,CLOSED,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.663836, 41.763146]}"
239,Jewel - Osco,7342 W Foster Ave Ste 1,60656-3617,OPEN,2020-06-03T17:00:00.000,"{'type': 'Point', 'coordinates': [-87.811426, 41.974395]}"
240,Save A Lot,10700 S Halsed St,60628,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.642681, 41.699358]}"
241,Jewel - Osco,3570 N Elston Ave,60618-4318,OPEN,2020-06-03T17:00:00.000,"{'type': 'Point', 'coordinates': [-87.708163, 41.946197]}"
242,Carniceria Jimenez,3850 W North Ave,60647,OPEN,2020-06-03T21:30:00.000,"{'type': 'Point', 'coordinates': [-87.723227, 41.909993]}"
243,Food Market La Chicquita,2637 S Pulaski Road,60623,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.724506, 41.843096]}"
244,Carniceria Jimenez,5330 W Belmont Ave,60641,OPEN,2020-06-03T21:30:00.000,"{'type': 'Point', 'coordinates': [-87.760298, 41.938673]}"
245,Whole Foods Market,30 W Huron St,60654-6402,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.629609, 41.894857]}"
246,Jewel - Osco,3644 S Archer Ave,60609-1044,OPEN,2020-06-03T17:00:00.000,"{'type': 'Point', 'coordinates': [-87.68249100000001, 41.827526]}"
247,Aldi,1836 N Clybourn Ave,60614-4902,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.654184, 41.914306]}"
248,Jewel - Osco,1220 S Ashland Ave,60608,OPEN,2020-06-03T17:00:00.000,"{'type': 'Point', 'coordinates': [-87.666452, 41.866306]}"
249,Aldi,4501 S Pulaski Rd,60632-4035,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.723596, 41.810456]}"
250,Aldi,5501 S HARLEM AVE,60638,OPEN,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.801377, 41.791634]}"
251,Fresh Thyme Farmers Market,2500 N ELSTON AVE,60647,OPEN,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.680485, 41.927161000000005]}"
252,Big Apple Finer Foods,2345 N Clark St,60614-3422,OPEN,,"{'type': 'Point', 'coordinates': [-87.639871, 41.924644]}"
253,Centro Fresh Market,4804 W DIVERSEY AVE,60639,OPEN,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.746768, 41.931564]}"
254,Save A Lot,2858 E 83rd St,60617,OPEN,2020-06-05T13:21:00.000,"{'type': 'Point', 'coordinates': [-87.554402, 41.74461]}"
255,Mariano's Lakeshore East,333 E Benton Pl,60601-7412,OPEN,2020-06-05T13:21:00.000,"{'type': 'Point', 'coordinates': [-87.61846, 41.885515]}"
256,Aldi,8333 S Cicero Ave,60652-3596,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.740988, 41.740856]}"
257,Montrose Food Mart & Deli,6601 W IRVING PARK RD,60634,OPEN,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.790868, 41.952851]}"
258,Jewel - Osco,3531 N Broadway St,60657-1825,OPEN,2020-06-03T17:00:00.000,"{'type': 'Point', 'coordinates': [-87.646797, 41.946598]}"
259,Fat Lee Supermarket,2707 S WELLS ST,60616,OPEN,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.633033, 41.843813]}"
260,Aldi,6220 N California Ave,60659-2608,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.699541, 41.994349]}"
261,Fair Share Finer Foods,6422 W 63rd Street,60638,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.782075, 41.777702]}"
262,Avenue Food Mart,6850 W BELMONT AVE,60634,OPEN,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.79769200000001, 41.938134]}"
263,Lindo Michoacan,3142 W LAWRENCE  AVE,60625,OPEN,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.707908, 41.968473]}"
